company,parent_company,ownership_type,title,campaign,locations,published_at,deadline,source_type,official_url,first_seen_at,updated_at,active_status
三星,三星,外企,中国三星2027届校园招聘正式启动,秋招,全国,2026-08-24,,官方校园招聘站,https://dearsamsung.zhiye.com/,2026-08-28T00:23:56+08:00,2026-08-28T00:28:39+08:00,active
中国联合网络通信集团,中国联合网络通信集团,央国企,中国联通2027届校园招聘,秋招,全国,2026-08-27,,企业招聘页,https://www.chinaunicom.com.cn/46/menu01/528/column06,2026-08-27T23:58:56+08:00,2026-09-01T00:24:42+00:00,unknown
中国航天科工集团,中国航天科工集团,央国企,航天科工2027届校园招聘全面启动,校园招聘,北京,2026-06-29,,国资委官网,http://wap.sasac.gov.cn/n2588035/n2588325/n2588350/c35503679/content.html,2026-08-27T22:09:49+08:00,2026-08-27T22:14:00+08:00,active
中国电信集团,中国电信集团,央国企,中国电信集团2027年度校园招聘全面启动,秋招,全国,2026-08-27,,国资委官网,http://www.sasac.gov.cn/n2588035/n2588325/n2588350/c35816071/content.html,2026-08-27T22:09:46+08:00,2026-08-27T22:14:00+08:00,active
中国广核集团,中国广核集团,央国企,中广核聚核体验营暨2027届提前批专场校园招聘正式启动！,提前批,北京,2026-06-02,,国资委官网,http://wap.sasac.gov.cn/n2588035/n2588325/c35442247/content.html,2026-08-27T22:09:44+08:00,2026-08-27T22:14:00+08:00,active
中国航空发动机集团,中国航空发动机集团,央国企,中国航空发动机集团有限公司2027届校园招聘重磅开启,秋招,北京,2026-07-30,,企业官网,https://www.aecc.cn/aecc/gggs/2026073017062513709/index.html,2026-08-27T21:26:32+08:00,2026-09-01T00:23:43+00:00,active
中兴通讯,中兴通讯,民企,中兴通讯2027届秋季校园招聘正式启动 2026-08-31,秋招,全国,2026-08-31,,官方招聘平台,https://job.zte.com.cn/cn/campus-recruitment/School_Recruitment_Announcement/news/2023.html,2026-09-01T00:23:02+00:00,2026-09-01T00:24:39+00:00,active
